	Country	World Cup Appearances	Field of 16 Appearances	Quarterfinal Appearances	Semifianl Appearances	Final Appearances	World Cup Champions
1	France	6	3	2	3	0	0
2	Brazil	12	11	10	4	4	3
3	Spain	8	5	4	0	0	0
4	Germany	1	1	1	0	0	0
5	Croatia	0	0	0	0	0	0
6	England	9	7	6	2	1	1
7	Argentina	9	6	6	2	3	2
8	Mexico	9	3	2	0	0	0
9	Denmark	1	1	0	0	0	0
10	Belgium	6	4	1	1	0	0
11	Morocco	3	1	0	0	0	0
12	Iran	1	0	0	0	0	0
13	Colombia	3	1	0	0	0	0
14	Saudi Arabia	1	1	0	0	0	0
15	Nigeria	1	1	0	0	0	0
16	Japan	0	0	0	0	0	0
17	South Korea	4	0	0	0	0	0
18	Tunisia	1	0	0	0	0	0
19	Egypt	0	0	0	0	0	0
20	Senegal	0	0	0	0	0	0
21	Australia	0	0	0	0	0	0
22	Iceland	0	0	0	0	0	0
23	Poland	0	0	0	0	0	0
24	Portugal	0	0	0	0	0	0
25	Russia	0	0	0	0	0	0
26	Serbia	0	0	0	0	0	0
27	Sweden	0	0	0	0	0	0
28	Switzerland	0	0	0	0	0	0
29	Costa Rica	0	0	0	0	0	0
30	Panama	0	0	0	0	0	0
31	Peru	0	0	0	0	0	0
32	Uruguay	0	0	0	0	0	0
